Region, Date,UnemploymentRate
Maharashtra,2019-08-31,7.57
Rajasthan,2019-08-31,14.71
Telangana,2019-08-31,1.4
Tamil Nadu,2019-08-31,9.53
Jammu & Kashmir,2019-08-31,11.32
Uttar Pradesh,2019-08-31,14.73
Puducherry,2019-08-31,4.85
Tamil Nadu,2019-08-31,2.91
Chhattisgarh,2019-08-31,4.64
Andhra Pradesh,2019-08-31,3.32
Himachal Pradesh,2019-08-31,18.56
Bihar,2019-08-31,11.0
Tripura,2019-08-31,25.49
Karnataka,2019-08-31,1.27
Jharkhand,2019-08-31,12.06
Delhi,2019-08-31,13.52
Maharashtra,2019-08-31,3.76
Uttarakhand,2019-08-31,7.43
Odisha,2019-08-31,3.5
West Bengal,2019-08-31,7.27
Gujarat,2019-08-31,4.2
Kerala,2019-08-31,10.32
Kerala,2019-08-31,7.69
Madhya Pradesh,2019-08-31,4.94
Goa,2019-08-31,4.9
Meghalaya,2019-08-31,5.8
Goa,2019-08-31,1.98
Chhattisgarh,2019-08-31,6.29
Himachal Pradesh,2019-08-31,24.48
Telangana,2019-08-31,4.19
Bihar,2019-08-31,17.66
Delhi,2019-08-31,17.18
Madhya Pradesh,2019-08-31,6.82
Tripura,2019-08-31,33.45
Haryana,2019-08-31,24.19
Chandigarh,2019-08-31,9.52
Meghalaya,2019-09-30,5.3
Uttar Pradesh,2019-09-30,13.58
Haryana,2019-09-30,26.84
Gujarat,2019-09-30,5.96
Himachal Pradesh,2019-09-30,12.0
Sikkim,2019-09-30,4.81
Goa,2019-09-30,3.16
Tamil Nadu,2019-09-30,1.71
Himachal Pradesh,2019-09-30,15.98
Rajasthan,2019-09-30,5.45
Andhra Pradesh,2019-09-30,5.17
Delhi,2019-09-30,12.5
Tripura,2019-09-30,30.23
Rajasthan,2019-09-30,12.63
Madhya Pradesh,2019-09-30,7.0
Puducherry,2019-09-30,1.22
Assam,2019-09-30,9.26
Bihar,2019-09-30,20.46
Maharashtra,2019-09-30,7.6
Assam,2019-09-30,4.46
Andhra Pradesh,2019-09-30,6.01
Chandigarh,2019-09-30,20.14
Goa,2019-09-30,3.61
Jharkhand,2019-09-30,21.16
West Bengal,2019-09-30,5.26
Punjab,2019-09-30,15.69
Uttarakhand,2019-09-30,3.47
Chhattisgarh,2019-09-30,9.46
Chhattisgarh,2019-09-30,8.33
Uttar Pradesh,2019-09-30,6.45
Odisha,2019-09-30,3.78
Haryana,2019-09-30,16.36
Uttarakhand,2019-09-30,9.62
West Bengal,2019-09-30,7.79
Delhi,2019-09-30,20.59
Telangana,2019-09-30,5.49
